"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
16,"1996-12-04","LAL","@","UTA","L",0,"13:00",2,6,0.33,0,0,NA,4,6,0.67,1,2,3,2,0,0,1,1,8,5.1,"Kobe Bryant","Regular Season"
17,"1996-12-08","LAL","","MIN","W",0,"22:00",3,10,0.3,0,3,0,5,6,0.83,2,1,3,3,2,2,3,2,11,8.2,"Kobe Bryant","Regular Season"
18,"1996-12-10","LAL","@","SAC","W",0,"6:00",0,1,0,0,1,0,0,0,NA,0,1,1,1,1,0,1,0,0,0.3,"Kobe Bryant","Regular Season"
19,"1996-12-17","LAL","@","CHI","L",0,"10:00",2,5,0.4,1,2,0.5,0,2,0,0,1,1,0,0,1,0,1,5,2.1,"Kobe Bryant","Regular Season"
20,"1996-12-18","LAL","@","MIL","W",0,"8:00",0,0,NA,0,0,NA,0,0,NA,2,1,3,1,0,1,1,0,0,2.1,"Kobe Bryant","Regular Season"
21,"1996-12-21","LAL","@","MIN","L",0,"11:00",2,3,0.67,1,2,0.5,0,0,NA,0,1,1,0,0,1,3,2,5,0.9,"Kobe Bryant","Regular Season"
22,"1996-12-25","LAL","@","PHO","W",0,"5:00",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,"Kobe Bryant","Regular Season"
23,"1996-12-29","LAL","","PHI","W",0,"7:00",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,1,3,0,-1.6,"Kobe Bryant","Regular Season"
24,"1997-01-02","LAL","@","SAC","W",0,"10:00",2,3,0.67,0,1,0,0,0,NA,0,1,1,2,1,0,0,3,4,4.2,"Kobe Bryant","Regular Season"
25,"1997-01-03","LAL","","SAC","W",0,"22:00",6,10,0.6,0,2,0,9,10,0.9,2,3,5,1,2,2,0,1,21,22,"Kobe Bryant","Regular Season"
26,"1997-01-05","LAL","@","VAN","W",0,"29:00",6,9,0.67,1,1,1,3,4,0.75,3,2,5,3,1,0,2,3,16,14.3,"Kobe Bryant","Regular Season"
27,"1997-01-06","LAL","@","POR","L",0,"23:00",3,9,0.33,1,3,0.33,1,2,0.5,0,2,2,2,2,0,2,3,8,3.3,"Kobe Bryant","Regular Season"
28,"1997-01-08","LAL","","CHH","W",0,"22:00",4,13,0.31,0,2,0,1,2,0.5,1,0,1,2,2,1,2,2,9,3.1,"Kobe Bryant","Regular Season"
29,"1997-01-10","LAL","","MIA","W",0,"8:00",1,3,0.33,0,1,0,0,0,NA,1,2,3,0,0,0,2,0,2,-0.4,"Kobe Bryant","Regular Season"
30,"1997-01-14","LAL","","VAN","W",0,"6:00",1,6,0.17,0,2,0,0,0,NA,0,0,0,0,1,0,0,1,2,-1.2,"Kobe Bryant","Regular Season"
31,"1997-01-18","LAL","","DET","L",0,"32:00",8,13,0.62,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21,15.8,"Kobe Bryant","Regular Season"
32,"1997-01-20","LAL","","DAL","W",0,"13:00",3,7,0.43,0,0,NA,0,0,NA,1,1,2,1,1,0,5,2,6,-0.8,"Kobe Bryant","Regular Season"
33,"1997-01-24","LAL","","GSW","W",0,"25:00",4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17,16,"Kobe Bryant","Regular Season"
34,"1997-01-26","LAL","@","SEA","W",0,"17:00",3,6,0.5,1,1,1,0,0,NA,1,0,1,1,1,0,3,0,7,3.4,"Kobe Bryant","Regular Season"
35,"1997-01-28","LAL","@","DAL","W",1,"32:00",5,11,0.45,0,3,0,2,3,0.67,1,2,3,2,2,1,3,1,12,7.9,"Kobe Bryant","Regular Season"
36,"1997-01-29","LAL","@","SAS","W",1,"30:00",6,12,0.5,3,7,0.43,4,4,1,1,3,4,0,2,2,3,2,19,14.2,"Kobe Bryant","Regular Season"
37,"1997-02-02","LAL","","WSB","W",0,"24:00",2,9,0.22,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13,9.5,"Kobe Bryant","Regular Season"
38,"1997-02-04","LAL","@","LAC","L",0,"23:00",2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6,0.3,"Kobe Bryant","Regular Season"
39,"1997-02-05","LAL","","CHI","W",0,"13:00",2,7,0.29,1,2,0.5,0,0,NA,1,2,3,0,0,1,0,0,5,2.9,"Kobe Bryant","Regular Season"
40,"1997-02-12","LAL","@","MIN","W",0,"11:00",0,4,0,0,0,NA,2,3,0.67,1,1,2,3,0,1,1,1,2,1.2,"Kobe Bryant","Regular Season"
41,"1997-02-13","LAL","@","DEN","W",0,"20:00",4,10,0.4,1,2,0.5,0,0,NA,1,1,2,3,1,0,1,2,9,5.9,"Kobe Bryant","Regular Season"
42,"1997-02-16","LAL","","SEA","L",0,"13:00",0,3,0,0,1,0,0,0,NA,0,1,1,0,0,0,2,2,0,-4.6,"Kobe Bryant","Regular Season"
43,"1997-02-19","LAL","","CLE","L",1,"23:00",3,7,0.43,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10,6.1,"Kobe Bryant","Regular Season"
44,"1997-02-21","LAL","","VAN","W",0,"5:00",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,2,0,2,0,"Kobe Bryant","Regular Season"
45,"1997-02-23","LAL","","NYK","L",0,"4:00",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,"Kobe Bryant","Regular Season"
46,"1997-02-28","LAL","@","ATL","L",0,"1:00",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,"Kobe Bryant","Regular Season"
47,"1997-03-02","LAL","@","IND","L",0,"22:00",4,9,0.44,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10,5.3,"Kobe Bryant","Regular Season"
48,"1997-03-04","LAL","@","DAL","W",0,"6:00",0,2,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,0,-0.4,"Kobe Bryant","Regular Season"
49,"1997-03-07","LAL","","HOU","L",0,"17:00",3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8,2.8,"Kobe Bryant","Regular Season"
50,"1997-03-09","LAL","","NJN","W",0,"26:00",3,6,0.5,1,3,0.33,5,5,1,1,1,2,2,2,1,0,3,12,12.9,"Kobe Bryant","Regular Season"
51,"1997-03-12","LAL","","GSW","W",0,"18:00",6,10,0.6,4,6,0.67,2,3,0.67,1,0,1,0,3,0,3,4,18,12.1,"Kobe Bryant","Regular Season"
52,"1997-03-14","LAL","","LAC","L",0,"26:00",6,13,0.46,3,4,0.75,1,2,0.5,2,2,4,1,3,0,1,2,16,12.8,"Kobe Bryant","Regular Season"
53,"1997-03-16","LAL","","TOR","W",0,"23:00",2,9,0.22,2,7,0.29,4,4,1,1,4,5,1,0,0,1,2,10,5.3,"Kobe Bryant","Regular Season"
54,"1997-03-17","LAL","@","DEN","W",0,"10:00",3,7,0.43,2,4,0.5,0,0,NA,0,0,0,1,2,0,1,0,8,6,"Kobe Bryant","Regular Season"
55,"1997-03-20","LAL","@","CLE","W",0,"3:00",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,2,1,0,-2.1,"Kobe Bryant","Regular Season"
56,"1997-03-21","LAL","@","MIA","L",0,"3:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Kobe Bryant","Regular Season"
57,"1997-03-23","LAL","@","ORL","L",0,"19:00",3,6,0.5,0,1,0,2,2,1,1,1,2,4,0,0,4,1,8,4.4,"Kobe Bryant","Regular Season"
58,"1997-03-24","LAL","@","NJN","W",0,"9:00",2,3,0.67,0,0,NA,2,3,0.67,1,0,1,0,0,0,1,0,6,4,"Kobe Bryant","Regular Season"
59,"1997-03-26","LAL","","MIL","W",1,"32:00",7,14,0.5,2,4,0.5,3,4,0.75,0,1,1,4,2,0,1,1,19,15.3,"Kobe Bryant","Regular Season"
60,"1997-03-27","LAL","@","VAN","W",1,"43:00",6,16,0.38,1,5,0.2,7,7,1,4,4,8,4,3,0,3,3,20,16.8,"Kobe Bryant","Regular Season"
61,"1997-04-01","LAL","@","SEA","W",0,"12:00",4,5,0.8,1,1,1,0,0,NA,0,1,1,1,0,0,2,5,9,4.1,"Kobe Bryant","Regular Season"
62,"1997-04-02","LAL","","DEN","W",0,"16:00",2,6,0.33,0,0,NA,2,2,1,1,2,3,3,1,0,1,1,6,5.6,"Kobe Bryant","Regular Season"
63,"1997-04-04","LAL","","SAS","L",0,"17:00",4,6,0.67,0,1,0,7,7,1,0,0,0,3,0,0,3,2,15,10.7,"Kobe Bryant","Regular Season"
64,"1997-04-06","LAL","","DAL","W",0,"22:00",3,9,0.33,2,4,0.5,5,5,1,1,1,2,3,3,0,1,3,13,11.8,"Kobe Bryant","Regular Season"
65,"1997-04-08","LAL","@","GSW","W",0,"25:00",9,11,0.82,2,3,0.67,4,7,0.57,1,1,2,3,1,0,5,3,24,16.6,"Kobe Bryant","Regular Season"
66,"1997-04-09","LAL","@","UTA","L",0,"34:00",3,12,0.25,1,2,0.5,4,6,0.67,1,1,2,3,1,0,2,2,11,4.3,"Kobe Bryant","Regular Season"
67,"1997-04-11","LAL","","PHO","W",1,"28:00",3,7,0.43,1,2,0.5,0,0,NA,1,0,1,1,1,0,1,2,7,3.9,"Kobe Bryant","Regular Season"
68,"1997-04-13","LAL","","UTA","W",0,"16:00",3,5,0.6,0,1,0,6,6,1,1,0,1,4,0,1,1,0,12,12.9,"Kobe Bryant","Regular Season"
69,"1997-04-17","LAL","","SAC","W",0,"16:00",1,4,0.25,0,1,0,1,2,0.5,0,2,2,1,1,0,3,2,3,-1.3,"Kobe Bryant","Regular Season"
70,"1997-04-18","LAL","@","LAC","W",0,"15:00",0,0,NA,0,0,NA,5,8,0.62,0,1,1,2,0,0,2,1,5,3.1,"Kobe Bryant","Regular Season"
71,"1997-04-20","LAL","@","POR","L",0,"4:00",0,0,NA,0,0,NA,2,2,1,0,1,1,1,0,1,2,0,2,1.7,"Kobe Bryant","Regular Season"
1,"1997-10-31","LAL","","UTA","W",0,"33:00",5,13,0.38,0,2,0,13,14,0.93,0,3,3,5,1,0,1,1,23,19.5,"Kobe Bryant","Regular Season"
2,"1997-11-04","LAL","@","SAC","W",0,"21:00",2,10,0.2,0,2,0,0,0,NA,2,1,3,3,2,1,3,1,4,0.9,"Kobe Bryant","Regular Season"
3,"1997-11-07","LAL","","NYK","W",0,"20:00",1,9,0.11,0,2,0,2,3,0.67,0,1,1,1,1,0,0,2,4,-1.1,"Kobe Bryant","Regular Season"
4,"1997-11-09","LAL","","GSW","W",0,"24:00",11,18,0.61,2,3,0.67,1,2,0.5,2,1,3,5,3,1,0,1,25,24.9,"Kobe Bryant","Regular Season"
5,"1997-11-16","LAL","","VAN","W",0,"16:00",2,6,0.33,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11,5.8,"Kobe Bryant","Regular Season"
6,"1997-11-18","LAL","@","UTA","W",0,"29:00",4,10,0.4,0,2,0,11,12,0.92,1,4,5,2,0,2,2,2,19,15.1,"Kobe Bryant","Regular Season"
7,"1997-11-19","LAL","","MIN","W",0,"34:00",9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20,13.2,"Kobe Bryant","Regular Season"
8,"1997-11-23","LAL","","LAC","W",0,"29:00",8,21,0.38,0,2,0,8,9,0.89,3,2,5,4,4,0,1,3,24,19.4,"Kobe Bryant","Regular Season"
9,"1997-11-25","LAL","@","MIA","L",0,"27:00",7,21,0.33,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16,6.2,"Kobe Bryant","Regular Season"
10,"1997-11-26","LAL","@","BOS","W",0,"28:00",5,11,0.45,1,1,1,3,8,0.38,2,3,5,2,1,0,7,1,14,3.6,"Kobe Bryant","Regular Season"
11,"1997-11-28","LAL","@","PHI","L",0,"23:00",7,11,0.64,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19,9.7,"Kobe Bryant","Regular Season"
12,"1997-11-30","LAL","","TOR","W",0,"19:00",2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6,2.6,"Kobe Bryant","Regular Season"
13,"1997-12-03","LAL","@","DEN","W",0,"24:00",3,10,0.3,1,3,0.33,3,4,0.75,1,3,4,5,0,2,2,1,10,7.9,"Kobe Bryant","Regular Season"
14,"1997-12-05","LAL","","SAS","W",0,"27:00",4,10,0.4,1,3,0.33,8,8,1,1,3,4,5,3,0,0,1,17,19.3,"Kobe Bryant","Regular Season"
15,"1997-12-07","LAL","","CLE","L",0,"29:00",5,15,0.33,2,4,0.5,9,10,0.9,1,3,4,2,0,0,1,5,21,12.1,"Kobe Bryant","Regular Season"
16,"1997-12-08","LAL","@","POR","L",0,"25:00",6,14,0.43,1,3,0.33,6,8,0.75,0,2,2,1,1,0,3,3,19,8.9,"Kobe Bryant","Regular Season"
17,"1997-12-10","LAL","@","GSW","L",0,"30:00",7,15,0.47,2,3,0.67,4,8,0.5,3,3,6,4,1,0,2,0,20,15.5,"Kobe Bryant","Regular Season"
18,"1997-12-12","LAL","","HOU","W",0,"26:00",8,15,0.53,2,4,0.5,9,10,0.9,1,4,5,1,2,0,1,1,27,22.5,"Kobe Bryant","Regular Season"
19,"1997-12-14","LAL","","DAL","W",0,"32:00",12,21,0.57,3,7,0.43,3,4,0.75,1,2,3,3,0,0,2,3,30,19.9,"Kobe Bryant","Regular Season"
20,"1997-12-16","LAL","@","MIN","W",0,"23:00",7,15,0.47,0,2,0,5,5,1,2,4,6,0,0,0,1,3,19,11.7,"Kobe Bryant","Regular Season"
21,"1997-12-17","LAL","@","CHI","L",0,"29:00",12,20,0.6,3,5,0.6,6,9,0.67,2,1,3,2,0,0,0,4,33,24.1,"Kobe Bryant","Regular Season"
22,"1997-12-19","LAL","@","ATL","W",0,"31:00",7,16,0.44,1,4,0.25,4,6,0.67,1,1,2,1,3,0,2,2,19,11.7,"Kobe Bryant","Regular Season"
23,"1997-12-20","LAL","@","CHH","W",0,"26:00",5,14,0.36,1,3,0.33,2,2,1,1,0,1,1,0,0,1,3,13,4.4,"Kobe Bryant","Regular Season"
24,"1997-12-22","LAL","@","HOU","W",0,"27:00",6,13,0.46,2,4,0.5,5,6,0.83,2,3,5,0,2,1,2,3,19,13.7,"Kobe Bryant","Regular Season"
25,"1997-12-26","LAL","","LAC","W",0,"27:00",7,15,0.47,2,5,0.4,0,1,0,0,1,1,2,0,1,1,4,16,7.7,"Kobe Bryant","Regular Season"
26,"1997-12-28","LAL","","BOS","L",0,"26:00",5,11,0.45,0,2,0,7,10,0.7,0,0,0,1,2,1,2,4,17,9.9,"Kobe Bryant","Regular Season"
27,"1997-12-30","LAL","","SAC","W",0,"28:00",4,10,0.4,0,1,0,4,6,0.67,0,4,4,1,0,1,2,2,12,5.6,"Kobe Bryant","Regular Season"
28,"1998-01-02","LAL","","ATL","W",0,"24:00",5,8,0.62,2,3,0.67,0,0,NA,1,2,3,4,2,0,3,1,12,11.1,"Kobe Bryant","Regular Season"
29,"1998-01-04","LAL","","PHI","L",0,"31:00",6,18,0.33,1,3,0.33,7,11,0.64,2,4,6,4,2,0,0,5,20,13.6,"Kobe Bryant","Regular Season"
30,"1998-01-06","LAL","@","VAN","W",0,"25:00",6,10,0.6,1,1,1,3,3,1,1,1,2,2,2,0,1,1,16,14.4,"Kobe Bryant","Regular Season"
31,"1998-01-07","LAL","","MIL","W",0,"20:00",4,7,0.57,0,1,0,9,10,0.9,1,1,2,2,2,1,3,2,17,14.6,"Kobe Bryant","Regular Season"
32,"1998-01-09","LAL","@","LAC","W",0,"27:00",4,11,0.36,0,2,0,7,7,1,0,0,0,2,2,1,1,3,15,10.8,"Kobe Bryant","Regular Season"
33,"1998-01-11","LAL","","CHH","L",0,"14:00",3,9,0.33,0,2,0,0,0,NA,0,2,2,1,0,0,1,1,6,0.8,"Kobe Bryant","Regular Season"
34,"1998-01-14","LAL","","DEN","W",0,"23:00",3,8,0.38,1,3,0.33,7,8,0.88,1,2,3,5,0,0,2,1,14,11.6,"Kobe Bryant","Regular Season"
35,"1998-01-17","LAL","","MIA","W",0,"27:00",6,9,0.67,1,2,0.5,8,9,0.89,3,2,5,2,0,0,4,4,21,15.2,"Kobe Bryant","Regular Season"
36,"1998-01-19","LAL","","ORL","W",0,"31:00",4,7,0.57,1,2,0.5,7,7,1,1,1,2,1,1,1,1,0,16,15.1,"Kobe Bryant","Regular Season"
37,"1998-01-21","LAL","@","PHO","W",0,"34:00",7,12,0.58,3,4,0.75,8,10,0.8,1,4,5,3,0,1,2,3,25,20.1,"Kobe Bryant","Regular Season"
38,"1998-01-24","LAL","@","SEA","L",0,"33:00",6,14,0.43,1,4,0.25,5,8,0.62,1,3,4,0,0,1,3,5,18,6.7,"Kobe Bryant","Regular Season"
39,"1998-01-28","LAL","","NJN","L",0,"35:00",10,19,0.53,0,3,0,6,8,0.75,3,2,5,0,0,0,2,3,26,15.4,"Kobe Bryant","Regular Season"
40,"1998-01-30","LAL","","MIN","W",0,"30:00",7,16,0.44,2,3,0.67,6,9,0.67,2,1,3,7,0,0,4,4,22,13.4,"Kobe Bryant","Regular Season"
41,"1998-02-01","LAL","","CHI","W",0,"26:00",7,16,0.44,2,6,0.33,4,7,0.57,0,4,4,1,2,0,1,4,20,11.7,"Kobe Bryant","Regular Season"
42,"1998-02-04","LAL","","POR","W",0,"28:00",6,10,0.6,1,2,0.5,13,13,1,1,3,4,4,3,1,1,4,26,26.9,"Kobe Bryant","Regular Season"
43,"1998-02-10","LAL","@","POR","L",1,"30:00",6,13,0.46,2,3,0.67,3,5,0.6,2,2,4,2,1,1,1,4,17,12,"Kobe Bryant","Regular Season"
44,"1998-02-11","LAL","","GSW","W",0,"22:00",5,11,0.45,0,0,NA,1,2,0.5,2,3,5,0,0,0,4,1,11,2.8,"Kobe Bryant","Regular Season"
45,"1998-02-13","LAL","","SEA","L",0,"41:00",4,13,0.31,0,4,0,7,7,1,1,2,3,6,0,1,1,1,15,12.3,"Kobe Bryant","Regular Season"
46,"1998-02-15","LAL","","HOU","L",0,"33:00",8,15,0.53,2,5,0.4,0,0,NA,2,0,2,0,1,0,2,2,18,10.3,"Kobe Bryant","Regular Season"
47,"1998-02-18","LAL","@","PHO","L",0,"24:00",3,8,0.38,0,1,0,2,2,1,1,3,4,4,2,0,4,3,8,4.8,"Kobe Bryant","Regular Season"
48,"1998-02-19","LAL","","DEN","W",0,"35:00",7,10,0.7,0,0,NA,7,8,0.88,1,3,4,7,0,0,0,1,21,22.5,"Kobe Bryant","Regular Season"
49,"1998-02-22","LAL","@","ORL","L",0,"37:00",6,15,0.4,2,3,0.67,4,5,0.8,0,3,3,4,2,0,2,1,18,12.8,"Kobe Bryant","Regular Season"
50,"1998-02-24","LAL","@","MIL","W",0,"25:00",3,12,0.25,1,1,1,5,5,1,1,4,5,2,0,0,1,2,12,6.3,"Kobe Bryant","Regular Season"
51,"1998-02-25","LAL","@","IND","W",0,"22:00",1,8,0.12,0,0,NA,6,6,1,2,1,3,2,1,0,6,3,8,-0.3,"Kobe Bryant","Regular Season"
52,"1998-02-27","LAL","@","MIN","W",0,"26:00",4,12,0.33,1,4,0.25,5,6,0.83,0,3,3,4,1,1,2,2,14,9.4,"Kobe Bryant","Regular Season"
53,"1998-03-01","LAL","@","NYK","L",0,"26:00",4,15,0.27,1,5,0.2,5,5,1,1,4,5,0,0,0,1,5,14,4,"Kobe Bryant","Regular Season"
54,"1998-03-02","LAL","@","WAS","L",0,"12:00",2,7,0.29,0,1,0,0,0,NA,0,1,1,1,0,0,1,0,4,-0.1,"Kobe Bryant","Regular Season"
55,"1998-03-04","LAL","","IND","W",0,"21:00",3,8,0.38,0,0,NA,9,14,0.64,1,2,3,1,0,0,4,3,15,5.4,"Kobe Bryant","Regular Season"
56,"1998-03-06","LAL","","SAS","W",0,"21:00",1,6,0.17,0,2,0,5,6,0.83,0,1,1,2,1,2,1,0,7,5.9,"Kobe Bryant","Regular Season"
57,"1998-03-08","LAL","","DET","W",0,"19:00",2,7,0.29,0,2,0,0,0,NA,1,2,3,0,1,0,1,0,4,1.2,"Kobe Bryant","Regular Season"
58,"1998-03-11","LAL","","POR","W",0,"20:00",4,10,0.4,1,2,0.5,4,5,0.8,1,1,2,2,0,0,1,2,13,7.8,"Kobe Bryant","Regular Season"
59,"1998-03-12","LAL","@","LAC","W",0,"12:00",2,9,0.22,1,2,0.5,1,2,0.5,0,3,3,1,0,0,4,1,6,-2.7,"Kobe Bryant","Regular Season"
60,"1998-03-15","LAL","@","VAN","W",0,"25:00",4,7,0.57,1,1,1,4,7,0.57,1,2,3,5,0,2,1,0,13,13.7,"Kobe Bryant","Regular Season"
61,"1998-03-16","LAL","@","SEA","L",0,"14:00",0,1,0,0,1,0,0,0,NA,0,0,0,2,0,0,1,2,0,-1.1,"Kobe Bryant","Regular Season"
62,"1998-03-18","LAL","","PHO","W",0,"28:00",1,10,0.1,0,3,0,8,9,0.89,1,2,3,6,0,3,1,1,10,9.2,"Kobe Bryant","Regular Season"
63,"1998-03-20","LAL","","SEA","W",0,"18:00",3,7,0.43,2,3,0.67,8,8,1,1,0,1,2,2,0,2,1,16,14,"Kobe Bryant","Regular Season"
64,"1998-03-22","LAL","@","SAC","W",0,"25:00",2,9,0.22,0,2,0,8,12,0.67,3,3,6,3,0,0,2,5,12,6,"Kobe Bryant","Regular Season"
65,"1998-03-23","LAL","@","DEN","W",0,"32:00",8,12,0.67,2,4,0.5,5,5,1,0,3,3,3,2,0,2,1,23,20.4,"Kobe Bryant","Regular Season"
66,"1998-03-25","LAL","","SAC","W",0,"21:00",3,7,0.43,1,3,0.33,4,5,0.8,1,0,1,3,0,0,5,2,11,3.9,"Kobe Bryant","Regular Season"
67,"1998-03-28","LAL","@","UTA","L",0,"27:00",0,4,0,0,2,0,2,2,1,0,0,0,3,4,1,2,1,2,3.6,"Kobe Bryant","Regular Season"
68,"1998-03-29","LAL","","WAS","W",0,"23:00",5,12,0.42,0,1,0,5,5,1,1,4,5,2,0,1,1,1,15,11.2,"Kobe Bryant","Regular Season"
69,"1998-03-31","LAL","@","TOR","W",0,"25:00",7,13,0.54,2,4,0.5,1,1,1,1,1,2,5,1,1,3,2,17,13.1,"Kobe Bryant","Regular Season"
70,"1998-04-02","LAL","@","NJN","W",0,"25:00",7,11,0.64,1,2,0.5,5,9,0.56,1,3,4,2,1,0,2,4,20,13.9,"Kobe Bryant","Regular Season"
71,"1998-04-03","LAL","@","CLE","W",0,"23:00",3,8,0.38,1,2,0.5,0,0,NA,0,1,1,5,1,0,3,4,7,2.8,"Kobe Bryant","Regular Season"
72,"1998-04-05","LAL","@","DET","W",0,"27:00",2,11,0.18,0,4,0,2,2,1,2,1,3,1,2,2,1,4,6,2.3,"Kobe Bryant","Regular Season"
73,"1998-04-08","LAL","","VAN","W",0,"26:00",4,10,0.4,1,5,0.2,5,6,0.83,0,1,1,4,0,2,5,3,14,6.5,"Kobe Bryant","Regular Season"
74,"1998-04-10","LAL","","PHO","L",0,"29:00",2,11,0.18,2,6,0.33,6,8,0.75,1,1,2,3,1,1,1,1,12,7.7,"Kobe Bryant","Regular Season"
75,"1998-04-11","LAL","@","GSW","W",0,"24:00",4,9,0.44,2,3,0.67,0,0,NA,0,1,1,1,0,1,2,1,10,4.6,"Kobe Bryant","Regular Season"
76,"1998-04-13","LAL","@","SAS","W",0,"26:00",5,10,0.5,0,2,0,5,6,0.83,0,1,1,3,0,2,3,2,15,9.6,"Kobe Bryant","Regular Season"
77,"1998-04-14","LAL","@","DAL","W",0,"28:00",6,11,0.55,1,1,1,6,7,0.86,1,3,4,1,0,0,2,6,19,11.2,"Kobe Bryant","Regular Season"
78,"1998-04-17","LAL","","DAL","W",0,"26:00",5,8,0.62,1,3,0.33,6,7,0.86,1,6,7,4,0,0,3,3,17,14.1,"Kobe Bryant","Regular Season"
79,"1998-04-19","LAL","","UTA","W",0,"37:00",10,19,0.53,1,5,0.2,4,6,0.67,1,1,2,3,2,2,2,1,25,19,"Kobe Bryant","Regular Season"
1,"1999-02-05","LAL","","HOU","W",1,"44:00",8,21,0.38,2,3,0.67,7,9,0.78,2,8,10,2,2,3,2,4,25,18.4,"Kobe Bryant","Regular Season"
2,"1999-02-07","LAL","","UTA","L",1,"41:00",7,12,0.58,0,1,0,2,2,1,2,10,12,3,0,2,5,6,16,10.9,"Kobe Bryant","Regular Season"
3,"1999-02-08","LAL","@","SAS","W",1,"41:00",8,19,0.42,1,4,0.25,2,2,1,2,8,10,2,2,2,4,5,19,11.5,"Kobe Bryant","Regular Season"
4,"1999-02-10","LAL","@","DEN","W",1,"38:00",8,15,0.53,1,2,0.5,4,5,0.8,1,9,10,5,1,0,3,5,21,16.2,"Kobe Bryant","Regular Season"
