Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player
1985-86,22,CHI,NBA,SG,,,,,,,,,,,,,,,,,,,,,Michael Jordan
1986-87,23,CHI,NBA,SG,1,1,28:00,5,12,.417,0,1,.000,1,2,.500,0,0,4,2,0,5,2,11,Michael Jordan
1987-88,24,CHI,NBA,SG,1,1,29:00,17,23,.739,0,0,,6,6,1.000,3,8,3,4,4,2,5,40,Michael Jordan
1988-89,25,CHI,NBA,SG,1,1,33:00,13,23,.565,0,1,.000,2,4,.500,1,2,3,5,0,4,1,28,Michael Jordan
1989-90,26,CHI,NBA,SG,1,1,29:00,8,17,.471,1,1,1.000,0,0,,1,5,2,5,1,5,1,17,Michael Jordan
1990-91,27,CHI,NBA,SG,1,1,36:00,10,25,.400,0,2,.000,6,7,.857,3,5,5,2,0,10,2,26,Michael Jordan
1991-92,28,CHI,NBA,SG,1,1,31:00,9,17,.529,0,0,,0,0,,1,1,5,2,0,1,2,18,Michael Jordan
1992-93,29,CHI,NBA,SG,1,1,36:00,10,24,.417,1,2,.500,9,13,.692,3,4,5,4,0,6,5,30,Michael Jordan
1995-96,32,CHI,NBA,SG,1,1,22:00,8,11,.727,0,0,,4,4,1.000,1,4,1,1,0,0,1,20,Michael Jordan
1996-97,33,CHI,NBA,SG,1,1,26:00,5,14,.357,0,0,,4,7,.571,3,11,11,2,0,3,4,14,Michael Jordan
1997-98,34,CHI,NBA,SG,1,1,32:00,10,18,.556,1,1,1.000,2,3,.667,1,6,8,3,0,2,0,23,Michael Jordan
2001-02,38,WAS,NBA,SF,1,1,22:00,4,13,.308,0,0,,0,0,,0,4,3,2,0,1,1,8,Michael Jordan
2002-03,39,WAS,NBA,SF,1,1,36:00,9,27,.333,0,2,.000,2,2,1.000,2,5,2,2,0,2,3,20,Michael Jordan
1997-98,19,LAL,NBA,SG,1,1,22:00,7,16,.438,2,3,.667,2,2,1.000,2,6,1,2,0,1,1,18,Kobe Bryant
1999-00,21,LAL,NBA,SG,1,1,28:00,7,16,.438,1,4,.250,0,0,,1,1,3,2,0,1,3,15,Kobe Bryant
2000-01,22,LAL,NBA,SG,1,1,30:00,9,17,.529,1,2,.500,0,0,,2,4,7,1,0,3,3,19,Kobe Bryant
2001-02,23,LAL,NBA,SG,1,1,30:00,12,25,.480,0,4,.000,7,7,1.000,2,5,5,1,0,0,2,31,Kobe Bryant
2002-03,24,LAL,NBA,SG,1,1,36:00,8,17,.471,3,5,.600,3,6,.500,2,7,6,3,2,5,5,22,Kobe Bryant
2003-04,25,LAL,NBA,SG,1,1,35:21,9,12,.750,2,3,.667,0,1,.000,1,4,4,5,1,6,3,20,Kobe Bryant
2004-05,26,LAL,NBA,SG,1,1,29:21,7,14,.500,2,5,.400,0,0,,3,6,7,3,1,4,5,16,Kobe Bryant
2005-06,27,LAL,NBA,SG,1,1,26:15,4,11,.364,0,5,.000,0,0,,0,7,8,3,0,3,5,8,Kobe Bryant
2006-07,28,LAL,NBA,SG,1,1,28:09,13,24,.542,3,9,.333,2,2,1.000,1,5,6,6,0,4,1,31,Kobe Bryant
2007-08,29,LAL,NBA,SG,1,1,2:52,0,0,,0,0,,0,0,,0,1,0,0,0,0,0,0,Kobe Bryant
2008-09,30,LAL,NBA,SG,1,1,29:14,12,23,.522,3,8,.375,0,0,,1,4,4,4,0,1,0,27,Kobe Bryant
2009-10,31,LAL,NBA,SG,,,,,,,,,,,,,,,,,,,,,Kobe Bryant
2010-11,32,LAL,NBA,SG,1,1,29:21,14,26,.538,2,7,.286,7,8,.875,10,14,3,3,0,4,2,37,Kobe Bryant
2011-12,33,LAL,NBA,SG,1,1,34:48,9,17,.529,2,5,.400,7,8,.875,0,1,1,2,0,1,2,27,Kobe Bryant
2012-13,34,LAL,NBA,SG,1,1,27:36,4,9,.444,0,3,.000,1,2,.500,2,4,8,2,2,1,2,9,Kobe Bryant
2013-14,35,LAL,NBA,SG,,,,,,,,,,,,,,,,,,,,,Kobe Bryant
2014-15,36,LAL,NBA,SG,,0,,,,,,,,,,,,,,,,,,,Kobe Bryant
2015-16,37,LAL,NBA,SF,1,1,25:49,4,11,.364,1,5,.200,1,2,.500,1,6,7,1,0,1,1,10,Kobe Bryant
