"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Player","RSorPO"
"2016-17",32,"CLE","NBA","SF",74,74,37.8,9.9,18.2,0.54,1.7,4.6,0.37,8.3,13.5,0.611,0.594,4.8,7.2,0.67,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,"Lebron James","Regular Season"
"2017-18",33,"CLE","NBA","PF",82,82,36.9,10.5,19.3,0.54,1.8,5,0.36,8.6,14.3,0.603,0.59,4.7,6.5,0.72,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,"Lebron James","Regular Season"
"2018-19",34,"LAL","NBA","SF",55,55,35.2,10.1,19.9,0.51,2,5.9,0.34,8.1,14,0.582,0.56,5.1,7.6,0.67,1,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,"Lebron James","Regular Season"
"2005-06",21,"CLE","NBA","SF",13,13,46.5,11.2,23.6,0.47,1.6,4.8,0.33,9.6,18.8,0.512,0.51,6.7,9.1,0.74,1.7,6.4,8.1,5.8,1.4,0.7,5,3.4,30.8,"Lebron James","Playoffs"
"2006-07",22,"CLE","NBA","SF",20,20,44.7,8.3,20,0.42,1.1,3.8,0.29,7.3,16.2,0.448,0.442,7.4,9.8,0.76,1.3,6.8,8.1,8,1.7,0.5,3.3,2,25.1,"Lebron James","Playoffs"
"2007-08",23,"CLE","NBA","SF",13,13,42.5,8.7,21.2,0.41,1.4,5.4,0.26,7.3,15.8,0.463,0.444,9.4,12.8,0.73,1.2,6.6,7.8,7.6,1.8,1.3,4.2,2.5,28.2,"Lebron James","Playoffs"
"2008-09",24,"CLE","NBA","SF",14,14,41.4,11.4,22.3,0.51,1.9,5.8,0.33,9.4,16.5,0.571,0.553,10.6,14.2,0.75,1.4,7.8,9.1,7.3,1.6,0.9,2.7,2.1,35.3,"Lebron James","Playoffs"
"2009-10",25,"CLE","NBA","SF",11,11,41.8,9.6,19.2,0.5,1.8,4.5,0.4,7.8,14.6,0.534,0.55,8,10.9,0.73,1.4,7.9,9.3,7.6,1.7,1.8,3.8,2.1,29.1,"Lebron James","Playoffs"
"2010-11",26,"MIA","NBA","SF",21,21,43.9,8.3,17.8,0.47,1.4,4,0.35,6.9,13.7,0.5,0.507,5.7,7.4,0.77,1.6,6.8,8.4,5.9,1.7,1.2,3.1,2.7,23.7,"Lebron James","Playoffs"
"2011-12",27,"MIA","NBA","SF",23,23,42.7,10.9,21.8,0.5,1,3.7,0.27,10,18.1,0.549,0.522,7.5,10.2,0.74,2.3,7.4,9.7,5.6,1.9,0.7,3.5,2,30.3,"Lebron James","Playoffs"
"2012-13",28,"MIA","NBA","PF",23,23,41.7,9.2,18.8,0.49,1.6,4.2,0.38,7.7,14.6,0.524,0.532,5.9,7.6,0.78,1.6,6.8,8.4,6.6,1.8,0.8,3,1.9,25.9,"Lebron James","Playoffs"
"2013-14",29,"MIA","NBA","PF",20,20,38.2,9.6,17,0.56,1.8,4.3,0.42,7.9,12.7,0.618,0.616,6.5,8,0.81,0.7,6.4,7.1,4.8,1.8,0.6,3.1,2.3,27.4,"Lebron James","Playoffs"
"2014-15",30,"CLE","NBA","SF",20,20,42.2,11.4,27.2,0.42,1.3,5.5,0.24,10.1,21.7,0.465,0.44,6.1,8.4,0.73,1.9,9.5,11.3,8.5,1.7,1.1,4.1,2.9,30.1,"Lebron James","Playoffs"
"2015-16",31,"CLE","NBA","SF",21,21,39.1,10.4,19.9,0.52,1.5,4.5,0.33,8.9,15.4,0.579,0.564,3.9,5.9,0.66,2,7.5,9.5,7.6,2.3,1.3,3.6,2.6,26.3,"Lebron James","Playoffs"
"2016-17",32,"CLE","NBA","SF",18,18,41.3,12.1,21.3,0.57,2.4,5.9,0.41,9.6,15.4,0.625,0.622,6.3,9,0.7,1.1,8.1,9.1,7.8,1.9,1.3,4,2.4,32.8,"Lebron James","Playoffs"
"2017-18",33,"CLE","NBA","PF",22,22,41.9,12.5,23.2,0.54,1.8,5.2,0.35,10.7,18,0.596,0.577,7.2,9.7,0.74,1.4,7.7,9.1,9,1.4,1,4.3,2.4,34,"Lebron James","Playoffs"
"1984-85",21,"CHI","NBA","SG",82,82,38.3,10.2,19.8,0.52,0.1,0.6,0.17,10.1,19.2,0.526,0.518,7.7,9.1,0.85,2,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,"Michael Jordan","Regular Season"
"1985-86",22,"CHI","NBA","SG",18,7,25.1,8.3,18.2,0.46,0.2,1,0.2,8.2,17.2,0.474,0.462,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7,"Michael Jordan","Regular Season"
"1986-87",23,"CHI","NBA","SG",82,82,40,13.4,27.8,0.48,0.1,0.8,0.12,13.2,27,0.491,0.484,10.2,11.9,0.86,2,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,"Michael Jordan","Regular Season"
"1987-88",24,"CHI","NBA","SG",82,82,40.4,13,24.4,0.53,0.1,0.6,0.17,13,23.7,0.546,0.537,8.8,10.5,0.84,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35,"Michael Jordan","Regular Season"
"1988-89",25,"CHI","NBA","SG",81,81,40.2,11.9,22.2,0.54,0.3,1.2,0.25,11.6,21,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8,8,2.9,0.8,3.6,3,32.5,"Michael Jordan","Regular Season"
"1989-90",26,"CHI","NBA","SG",82,82,39,12.6,24,0.52,1.1,3,0.37,11.5,21,0.548,0.55,7.2,8.5,0.85,1.7,5.1,6.9,6.3,2.8,0.7,3,2.9,33.6,"Michael Jordan","Regular Season"
"1990-91",27,"CHI","NBA","SG",82,82,37,12.1,22.4,0.54,0.4,1.1,0.36,11.7,21.3,0.551,0.547,7,8.2,0.85,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5,"Michael Jordan","Regular Season"
"1991-92",28,"CHI","NBA","SG",80,80,38.8,11.8,22.7,0.52,0.3,1.3,0.23,11.5,21.5,0.533,0.526,6.1,7.4,0.82,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,"Michael Jordan","Regular Season"
"1992-93",29,"CHI","NBA","SG",78,78,39.3,12.7,25.7,0.49,1,2.9,0.34,11.7,22.7,0.514,0.515,6.1,7.3,0.84,1.7,5,6.7,5.5,2.8,0.8,2.7,2.4,32.6,"Michael Jordan","Regular Season"
"1994-95",31,"CHI","NBA","SG",17,17,39.3,9.8,23.8,0.41,0.9,1.9,0.47,8.8,21.9,0.403,0.431,6.4,8,0.8,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9,"Michael Jordan","Regular Season"
"1995-96",32,"CHI","NBA","SG",82,82,37.7,11.2,22.6,0.5,1.4,3.2,0.44,9.8,19.4,0.506,0.525,6.7,8,0.84,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,"Michael Jordan","Regular Season"
"1996-97",33,"CHI","NBA","SG",82,82,37.9,11.2,23.1,0.48,1.4,3.6,0.39,9.9,19.5,0.507,0.516,5.9,7,0.84,1.4,4.5,5.9,4.3,1.7,0.5,2,1.9,29.6,"Michael Jordan","Regular Season"
"1997-98",34,"CHI","NBA","SG",82,82,38.8,10.7,23.1,0.46,0.4,1.5,0.27,10.4,21.5,0.482,0.473,6.9,8.8,0.78,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,"Michael Jordan","Regular Season"
"2001-02",38,"WAS","NBA","SF",60,53,34.9,9.2,22.1,0.42,0.2,0.9,0.22,9,21.2,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2,22.9,"Michael Jordan","Regular Season"
"2002-03",39,"WAS","NBA","SF",82,67,37,8.3,18.6,0.45,0.2,0.7,0.29,8.1,18,0.45,0.45,3.2,4,0.8,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20,"Michael Jordan","Regular Season"
"1984-85",21,"CHI","NBA","SG",4,4,42.8,8.5,19.5,0.44,0.3,2,0.15,8.3,17.5,0.471,0.442,12,14.5,0.83,1.8,4,5.8,8.5,2.8,1,3.8,3.8,29.3,"Michael Jordan","Playoffs"
"1985-86",22,"CHI","NBA","SG",3,3,45,16,31.7,0.5,0.3,0.3,1,15.7,31.3,0.5,0.511,11.3,13,0.87,1.7,4.7,6.3,5.7,2.3,1.3,4.7,4.3,43.7,"Michael Jordan","Playoffs"
"1986-87",23,"CHI","NBA","SG",3,3,42.7,11.7,28,0.42,0.7,1.7,0.41,11,26.3,0.418,0.429,11.7,13,0.9,2.3,4.7,7,6,2,2.3,2.7,3.7,35.7,"Michael Jordan","Playoffs"
"1987-88",24,"CHI","NBA","SG",10,10,42.7,13.8,26,0.53,0.1,0.3,0.33,13.7,25.7,0.533,0.533,8.6,9.9,0.87,2.3,4.8,7.1,4.7,2.4,1.1,3.9,3.8,36.3,"Michael Jordan","Playoffs"
"1988-89",25,"CHI","NBA","SG",17,17,42.2,11.7,22.9,0.51,0.6,2.1,0.29,11.1,20.9,0.532,0.523,10.8,13.5,0.8,1.5,5.5,7,7.6,2.5,0.8,4,3.8,34.8,"Michael Jordan","Playoffs"
"1989-90",26,"CHI","NBA","SG",16,16,42.1,13.7,26.6,0.52,1,3.1,0.32,12.7,23.5,0.54,0.533,8.3,9.9,0.84,1.5,5.7,7.2,6.8,2.8,0.9,3.5,3.4,36.7,"Michael Jordan","Playoffs"
"1990-91",27,"CHI","NBA","SG",17,17,40.5,11.6,22.1,0.52,0.6,1.5,0.4,11,20.6,0.534,0.537,7.4,8.7,0.85,1.1,5.3,6.4,8.4,2.4,1.4,2.5,3.1,31.1,"Michael Jordan","Playoffs"
"1991-92",28,"CHI","NBA","SG",22,22,41.8,13.2,26.4,0.5,0.8,2,0.4,12.4,24.4,0.508,0.514,7.4,8.6,0.86,1.7,4.5,6.2,5.8,2,0.7,3.7,2.8,34.5,"Michael Jordan","Playoffs"
"1992-93",29,"CHI","NBA","SG",19,19,41.2,13.2,27.8,0.47,1.5,3.8,0.39,11.7,24,0.489,0.502,7.2,8.9,0.81,1.7,5.1,6.7,6,2.1,0.9,2.4,3.1,35.1,"Michael Jordan","Playoffs"
"1994-95",31,"CHI","NBA","SG",10,10,42,12,24.8,0.48,1.1,3,0.37,10.9,21.8,0.5,0.506,6.4,7.9,0.81,2,4.5,6.5,4.5,2.3,1.4,4.1,3,31.5,"Michael Jordan","Playoffs"
"1995-96",32,"CHI","NBA","SG",18,18,40.7,10.4,22.6,0.46,1.4,3.4,0.41,9,19.2,0.47,0.49,8.5,10.4,0.82,1.7,3.2,4.9,4.1,1.8,0.3,2.3,2.7,30.7,"Michael Jordan","Playoffs"
"1996-97",33,"CHI","NBA","SG",19,19,42.3,11.9,26.2,0.45,0.7,3.5,0.2,11.3,22.7,0.497,0.469,6.5,7.8,0.83,2.2,5.7,7.9,4.8,1.6,0.9,2.6,2.4,31.1,"Michael Jordan","Playoffs"
"1997-98",34,"CHI","NBA","SG",21,21,41.5,11.6,25,0.46,0.6,2,0.3,11,23,0.476,0.474,8.6,10.6,0.81,1.6,3.5,5.1,3.5,1.5,0.6,2.1,2.2,32.4,"Michael Jordan","Playoffs"
"1996-97",18,"LAL","NBA","SG",71,6,15.5,2.5,5.9,0.42,0.7,1.9,0.37,1.8,4,0.437,0.477,1.9,2.3,0.83,0.7,1.2,1.9,1.3,0.7,0.3,1.6,1.4,7.6,"Kobe Bryant","Regular Season"
"1997-98",19,"LAL","NBA","SG",79,1,26,4.9,11.6,0.42,0.9,2.8,0.32,4,8.8,0.456,0.469,4.6,5.8,0.79,1,2.1,3.1,2.5,0.9,0.5,2,2.3,15.4,"Kobe Bryant","Regular Season"
"1998-99",20,"LAL","NBA","SG",50,50,37.9,7.2,15.6,0.46,0.5,2,0.25,6.7,13.6,0.494,0.482,4.9,5.8,0.84,1.1,4.2,5.3,3.8,1.4,1,3.1,3.1,19.9,"Kobe Bryant","Regular Season"
"1999-00",21,"LAL","NBA","SG",66,62,38.2,8.4,17.9,0.47,0.7,2.2,0.32,7.7,15.7,0.489,0.488,5,6.1,0.82,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,"Kobe Bryant","Regular Season"
"2000-01",22,"LAL","NBA","SG",68,68,40.9,10.3,22.2,0.46,0.9,2.9,0.31,9.4,19.3,0.489,0.484,7,8.2,0.85,1.5,4.3,5.9,5,1.7,0.6,3.2,3.3,28.5,"Kobe Bryant","Regular Season"
"2001-02",23,"LAL","NBA","SG",80,80,38.3,9.4,20,0.47,0.4,1.7,0.24,9,18.3,0.489,0.479,6.1,7.4,0.82,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,"Kobe Bryant","Regular Season"
"2002-03",24,"LAL","NBA","SG",82,82,41.5,10.6,23.5,0.45,1.5,4,0.38,9.1,19.5,0.465,0.483,7.3,8.7,0.84,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30,"Kobe Bryant","Regular Season"
"2003-04",25,"LAL","NBA","SG",65,64,37.6,7.9,18.1,0.44,1.1,3.3,0.33,6.8,14.8,0.463,0.468,7,8.2,0.85,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24,"Kobe Bryant","Regular Season"
"2004-05",26,"LAL","NBA","SG",66,66,40.7,8.7,20.1,0.43,2,5.9,0.34,6.7,14.2,0.472,0.482,8.2,10.1,0.81,1.4,4.5,5.9,6,1.3,0.8,4.1,2.6,27.6,"Kobe Bryant","Regular Season"
"2005-06",27,"LAL","NBA","SG",80,80,41,12.2,27.2,0.45,2.3,6.5,0.35,10,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,"Kobe Bryant","Regular Season"
"2006-07",28,"LAL","NBA","SG",77,77,40.8,10.6,22.8,0.46,1.8,5.2,0.35,8.8,17.6,0.497,0.502,8.7,10,0.87,1,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,"Kobe Bryant","Regular Season"
"2007-08",29,"LAL","NBA","SG",82,82,38.9,9.5,20.6,0.46,1.8,5.1,0.35,7.6,15.5,0.49,0.503,7.6,9,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,"Kobe Bryant","Regular Season"
"2008-09",30,"LAL","NBA","SG",82,82,36.1,9.8,20.9,0.47,1.4,4.1,0.34,8.3,16.8,0.496,0.502,5.9,6.9,0.86,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,"Kobe Bryant","Regular Season"
"2009-10",31,"LAL","NBA","SG",73,73,38.8,9.8,21.5,0.46,1.4,4.1,0.34,8.5,17.4,0.487,0.488,6,7.4,0.81,1.1,4.3,5.4,5,1.5,0.3,3.2,2.6,27,"Kobe Bryant","Regular Season"
"2010-11",32,"LAL","NBA","SG",82,82,33.9,9,20,0.45,1.4,4.3,0.33,7.6,15.6,0.487,0.487,5.9,7.1,0.83,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3,"Kobe Bryant","Regular Season"
"2011-12",33,"LAL","NBA","SG",58,58,38.5,9.9,23,0.43,1.5,4.9,0.31,8.4,18.1,0.464,0.462,6.6,7.8,0.85,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,"Kobe Bryant","Regular Season"
"2012-13",34,"LAL","NBA","SG",78,78,38.6,9.5,20.4,0.47,1.7,5.2,0.33,7.8,15.2,0.51,0.504,6.7,8,0.84,0.8,4.7,5.6,6,1.4,0.3,3.7,2.2,27.3,"Kobe Bryant","Regular Season"
"2013-14",35,"LAL","NBA","SG",6,6,29.5,5.2,12.2,0.43,0.5,2.7,0.19,4.7,9.5,0.491,0.445,3,3.5,0.86,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5,13.8,"Kobe Bryant","Regular Season"
"2014-15",36,"LAL","NBA","SG",35,35,34.5,7.6,20.4,0.37,1.5,5.3,0.28,6.1,15.1,0.401,0.411,5.6,6.9,0.81,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3,"Kobe Bryant","Regular Season"
"2015-16",37,"LAL","NBA","SF",66,66,28.2,6,16.9,0.36,2,7.1,0.28,4,9.8,0.41,0.417,3.5,4.3,0.81,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,17.6,"Kobe Bryant","Regular Season"
"1996-97",18,"LAL","NBA","SG",9,0,14.8,2.3,6.1,0.38,0.7,2.6,0.27,1.7,3.6,0.469,0.436,2.9,3.3,0.88,0.1,1.1,1.2,1.2,0.3,0.2,1.6,2.6,8.2,"Kobe Bryant","Playoffs"
"1997-98",19,"LAL","NBA","SG",11,0,20,2.8,6.9,0.41,0.3,1.3,0.23,2.5,5.6,0.452,0.428,2.8,4.1,0.68,0.6,1.3,1.9,1.5,0.3,0.7,1,2.5,8.7,"Kobe Bryant","Playoffs"
"1998-99",20,"LAL","NBA","SG",8,8,39.4,7.6,17.8,0.43,1,2.9,0.34,6.6,14.9,0.445,0.458,3.5,4.4,0.8,1.6,5.3,6.9,4.6,1.9,1.3,3.9,3,19.8,"Kobe Bryant","Playoffs"
"1999-00",21,"LAL","NBA","SG",22,22,39,7.9,17.9,0.44,1,2.9,0.34,6.9,15,0.461,0.47,4.3,5.7,0.75,1.2,3.3,4.5,4.4,1.5,1.5,2.5,4,21.1,"Kobe Bryant","Playoffs"
"2000-01",22,"LAL","NBA","SG",16,16,43.4,10.5,22.4,0.47,0.7,2.1,0.33,9.8,20.3,0.485,0.485,7.8,9.4,0.83,1.8,5.4,7.3,6.1,1.6,0.8,3.2,3.3,29.4,"Kobe Bryant","Playoffs"
"2001-02",23,"LAL","NBA","SG",19,19,43.8,9.8,22.7,0.43,1.2,3.1,0.39,8.7,19.6,0.442,0.459,5.8,7.6,0.76,1.5,4.4,5.8,4.6,1.4,0.9,2.8,3.4,26.6,"Kobe Bryant","Playoffs"
"2002-03",24,"LAL","NBA","SG",12,12,44.3,11.4,26.4,0.43,2.1,5.2,0.4,9.3,21.3,0.439,0.472,7.2,8.7,0.83,1.3,3.8,5.1,5.2,1.2,0.1,3.5,2.9,32.1,"Kobe Bryant","Playoffs"
"2003-04",25,"LAL","NBA","SG",22,22,44.2,8.6,20.9,0.41,1.1,4.4,0.25,7.5,16.5,0.457,0.439,6.1,7.5,0.81,0.8,3.9,4.7,5.5,1.9,0.3,2.8,2.7,24.5,"Kobe Bryant","Playoffs"
"2005-06",27,"LAL","NBA","SG",7,7,44.9,10.3,20.7,0.5,2,5,0.4,8.3,15.7,0.527,0.545,5.3,6.9,0.77,0.6,5.7,6.3,5.1,1.1,0.4,4.7,3.6,27.9,"Kobe Bryant","Playoffs"
"2006-07",28,"LAL","NBA","SG",5,5,43,12,26,0.46,2,5.6,0.36,10,20.4,0.49,0.5,6.8,7.4,0.92,0.2,5,5.2,4.4,1,0.4,4.4,2,32.8,"Kobe Bryant","Playoffs"
"2007-08",29,"LAL","NBA","SG",21,21,41.1,10.6,22,0.48,1.5,5,0.3,9,17,0.532,0.514,7.5,9.2,0.82,0.9,4.8,5.7,5.6,1.7,0.4,3.3,2.8,30.1,"Kobe Bryant","Playoffs"
"2008-09",30,"LAL","NBA","SG",23,23,40.9,10.5,23,0.46,1.6,4.6,0.35,8.9,18.4,0.483,0.492,7.6,8.6,0.88,0.8,4.5,5.3,5.5,1.7,0.9,2.6,2.6,30.2,"Kobe Bryant","Playoffs"
"2009-10",31,"LAL","NBA","SG",23,23,40.1,10.2,22.2,0.46,2.1,5.7,0.37,8,16.5,0.487,0.506,6.7,8,0.84,1.1,4.9,6,5.5,1.3,0.7,3.4,3.3,29.2,"Kobe Bryant","Playoffs"
"2010-11",32,"LAL","NBA","SG",10,10,35.4,8.3,18.6,0.45,1.2,4.1,0.29,7.1,14.5,0.49,0.478,5,6.1,0.82,0.8,2.6,3.4,3.3,1.6,0.3,3.1,2.3,22.8,"Kobe Bryant","Playoffs"
"2011-12",33,"LAL","NBA","SG",12,12,39.7,11,25.1,0.44,1.4,5,0.28,9.6,20.1,0.477,0.467,6.6,7.9,0.84,1.3,3.5,4.8,4.3,1.3,0.2,2.8,2.8,30,"Kobe Bryant","Playoffs"
