Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1992-93,29,CHI,NBA,,21,43,6,9,21,36,16,18,5,8,12,14,5,4,5,5,55,41.3,Michael Jordan,Playoffs
1994-95,31,CHI,NBA,,18,32,3,6,17,29,11,11,4,8,9,8,4,4,8,5,48,39.8,Michael Jordan,Playoffs
1995-96,32,CHI,NBA,,17,35,3,7,16,30,15,16,3,7,9,8,4,1,5,5,46,34.6,Michael Jordan,Playoffs
1996-97,33,CHI,NBA,,22,35,4,10,21,33,15,21,6,10,16,9,4,3,5,5,55,42.8,Michael Jordan,Playoffs
1997-98,34,CHI,NBA,,16,35,3,7,15,31,17,23,5,7,11,8,5,2,6,4,45,37.1,Michael Jordan,Playoffs
1996-97,18,LAL,NBA,,9,16,4,7,7,11,9,10,4,4,8,5,3,2,5,5,24,22.0,Kobe Bryant,Regular Season
1997-98,19,LAL,NBA,,12,21,3,7,10,19,13,14,3,6,7,7,4,3,7,6,33,26.9,Kobe Bryant,Regular Season
1998-99,20,LAL,NBA,,15,24,4,6,13,22,10,13,4,12,13,10,6,4,8,6,38,28.1,Kobe Bryant,Regular Season
1999-00,21,LAL,NBA,,15,30,5,7,13,27,13,14,8,13,14,12,5,5,6,6,40,34.1,Kobe Bryant,Regular Season
2000-01,22,LAL,NBA,,20,35,3,10,19,32,23,26,5,11,12,11,6,5,8,6,51,38.1,Kobe Bryant,Regular Season
2001-02,23,LAL,NBA,,21,34,3,7,18,29,18,20,4,11,13,15,5,3,8,6,56,46.3,Kobe Bryant,Regular Season
2002-03,24,LAL,NBA,,19,47,12,18,17,39,18,21,6,10,15,14,6,3,8,5,55,41.5,Kobe Bryant,Regular Season
2003-04,25,LAL,NBA,,16,31,4,10,15,25,17,21,5,11,14,13,6,2,6,5,45,39.2,Kobe Bryant,Regular Season
2004-05,26,LAL,NBA,,16,33,9,15,14,26,17,22,5,12,14,14,5,3,9,6,48,36.6,Kobe Bryant,Regular Season
2005-06,27,LAL,NBA,49:31,28,46,7,15,21,35,23,26,4,10,10,11,7,2,7,6,81,63.5,Kobe Bryant,Regular Season
2006-07,28,LAL,NBA,54:28,23,45,8,14,18,35,21,24,4,10,13,13,5,3,9,6,65,50.9,Kobe Bryant,Regular Season
2007-08,29,LAL,NBA,51:55,21,44,9,17,19,36,20,27,6,12,14,13,5,3,11,6,53,39.4,Kobe Bryant,Regular Season
2008-09,30,LAL,NBA,45:13,19,38,6,9,16,29,20,20,5,11,13,13,5,2,6,6,61,47.3,Kobe Bryant,Regular Season
2009-10,31,LAL,NBA,50:59,19,37,5,9,19,30,16,18,4,13,16,13,5,2,9,5,44,38.8,Kobe Bryant,Regular Season
2010-11,32,LAL,NBA,48:00,16,33,4,10,13,26,14,17,4,11,12,14,4,1,8,5,42,33.8,Kobe Bryant,Regular Season
2011-12,33,LAL,NBA,51:47,18,31,5,11,18,28,12,14,4,11,14,9,4,2,10,4,48,36.9,Kobe Bryant,Regular Season
2012-13,34,LAL,NBA,48:00,16,41,5,12,14,33,18,20,4,11,12,14,5,4,10,5,47,42.8,Kobe Bryant,Regular Season
2013-14,35,LAL,NBA,32:38,9,18,2,5,8,17,8,8,1,7,8,13,2,1,8,3,21,14.0,Kobe Bryant,Regular Season
2014-15,36,LAL,NBA,44:15,15,37,5,12,12,30,11,16,3,10,11,17,5,2,10,5,44,27.0,Kobe Bryant,Regular Season
2015-16,37,LAL,NBA,42:09,22,50,7,21,16,29,11,12,3,10,12,9,3,2,6,5,60,36.3,Kobe Bryant,Regular Season
1996-97,18,LAL,NBA,,7,14,3,6,5,10,13,14,1,4,4,3,1,1,5,5,22,14.8,Kobe Bryant,Playoffs
1997-98,19,LAL,NBA,,9,16,1,5,8,15,8,12,3,3,5,4,1,2,3,5,22,15.8,Kobe Bryant,Playoffs
1998-99,20,LAL,NBA,,12,25,2,5,11,22,6,6,4,7,9,8,4,4,7,6,28,18.5,Kobe Bryant,Playoffs
1999-00,21,LAL,NBA,,14,30,6,9,14,27,9,13,5,11,11,7,4,4,7,6,35,25.7,Kobe Bryant,Playoffs
2000-01,22,LAL,NBA,,19,35,2,4,18,33,17,19,9,10,16,11,3,3,6,4,48,43.3,Kobe Bryant,Playoffs
2001-02,23,LAL,NBA,,15,31,4,9,15,29,12,13,3,9,11,8,3,3,6,6,36,26.4,Kobe Bryant,Playoffs
2002-03,24,LAL,NBA,,16,38,5,11,15,34,17,19,3,6,8,8,3,1,7,5,39,30.7,Kobe Bryant,Playoffs
2003-04,25,LAL,NBA,,15,27,4,8,13,23,16,17,3,8,10,10,5,2,5,5,42,36.1,Kobe Bryant,Playoffs
2005-06,27,LAL,NBA,52:06,20,35,5,8,15,27,7,9,1,10,10,8,4,1,7,5,50,33.8,Kobe Bryant,Playoffs
2006-07,28,LAL,NBA,46:22,15,33,4,8,13,25,13,13,1,7,7,9,2,1,6,3,45,34.3,Kobe Bryant,Playoffs
2007-08,29,LAL,NBA,46:32,18,33,5,10,14,28,21,23,3,8,10,10,5,2,6,5,49,43.6,Kobe Bryant,Playoffs
2008-09,30,LAL,NBA,48:52,16,34,4,10,16,33,15,17,3,8,8,10,4,4,7,5,41,33.9,Kobe Bryant,Playoffs
2009-10,31,LAL,NBA,44:51,15,29,6,11,12,23,13,15,4,11,15,13,4,4,7,5,40,35.8,Kobe Bryant,Playoffs
2010-11,32,LAL,NBA,42:05,14,29,4,9,12,24,10,10,2,6,6,8,5,1,5,4,36,21.7,Kobe Bryant,Playoffs
2011-12,33,LAL,NBA,45:08,18,33,5,11,17,27,18,18,3,6,8,8,4,1,6,4,43,29.7,Kobe Bryant,Playoffs
